mal_id,url,image_url,trailer_embed_url,title,title_english,title_japanese,title_synonym,type,source,status,rating,score,scored_by,rank,popularity,members,favorites,season,year,producers,episodes,aired_from,broadcast_day,genres,themes,studios,demographics,duration_minutes,synopsis_clean
16498,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/anime/10/47347l.jpg,https://www.youtube-nocookie.com/embed/LHtdKWJdif4?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin,Attack on Titan,進撃の巨人,"['AoT', 'SnK']",TV,Manga,Finished Airing,R - 17+ (violence & profanity),8.57,3088659.0,125.0,1,4393144,190596,spring,2013.0,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",25.0,2013-04-07T00:00:00+00:00,Sunday,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Wit Studio'],['Shounen'],24.0,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached."
1535,https://myanimelist.net/anime/1535/Death_Note,https://cdn.myanimelist.net/images/anime/1079/138100l.jpg,https://www.youtube-nocookie.com/embed/Vt_3c8BgxV4?enablejsapi=1&wmode=opaque&autoplay=1,Death Note,Death Note,デスノート,['DN'],TV,Manga,Finished Airing,R - 17+ (violence & profanity),8.62,3027344.0,99.0,2,4331343,186796,fall,2006.0,"['VAP', 'Nippon Television Network', 'Shueisha', 'D.N. Dream Partners']",37.0,2006-10-04T00:00:00+00:00,Wednesday,"['Supernatural', 'Suspense']",['Psychological'],['Madhouse'],['Shounen'],23.0,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten. For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder. Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead."
5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg,https://www.youtube-nocookie.com/embed/1ac3_YdSSy0?enablejsapi=1&wmode=opaque&autoplay=1,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"['Hagane no Renkinjutsushi: Fullmetal Alchemist', 'Fullmetal Alchemist (2009)', 'FMA', 'FMAB']",TV,Manga,Finished Airing,R - 17+ (violence & profanity),9.11,2326389.0,3.0,3,3709235,244097,spring,2009.0,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Techno Sound']",64.0,2009-04-05T00:00:00+00:00,Sunday,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Bones'],['Shounen'],24.0,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world."
30276,https://myanimelist.net/anime/30276/One_Punch_Man,https://cdn.myanimelist.net/images/anime/12/76049l.jpg,https://www.youtube-nocookie.com/embed/ExUMiF1L0HA?enablejsapi=1&wmode=opaque&autoplay=1,One Punch Man,One-Punch Man,ワンパンマン,"['One Punch-Man', 'OPM']",TV,Web manga,Finished Airing,R - 17+ (violence & profanity),8.47,2434949.0,182.0,4,3539523,66357,fall,2015.0,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR-East Marketing & Communications']",12.0,2015-10-05T00:00:00+00:00,Monday,"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",['Madhouse'],['Seinen'],24.0,"The seemingly unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, Saitama relentlessly trained for three years, losing all of his hair in the process. Now, Saitama is so powerful, he can defeat any enemy with just one punch. However, having no one capable of matching his strength has led Saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored. One day, Saitama catches the attention of 19-year-old cyborg Genos, who witnesses his power and wishes to become Saitama's disciple. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society. Saitama, who is shocked that no one knows who he is, quickly agrees. Meeting new allies and taking on new foes, Saitama embarks on a new journey as a member of the Hero Association to experience the excitement of battle he once felt."
38000,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,https://cdn.myanimelist.net/images/anime/1286/99889l.jpg,https://www.youtube-nocookie.com/embed/6vMuWuWlW4I?enablejsapi=1&wmode=opaque&autoplay=1,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,['Blade of Demon Destruction'],TV,Manga,Finished Airing,R - 17+ (violence & profanity),8.4,2382983.0,234.0,5,3477438,95177,spring,2019.0,"['Aniplex', 'Studio Mausu', 'Shueisha']",26.0,2019-04-06T00:00:00+00:00,Saturday,"['Action', 'Supernatural']",['Historical'],['ufotable'],['Shounen'],23.0,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night. When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity."
31964,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,https://cdn.myanimelist.net/images/anime/10/78745l.jpg,https://www.youtube-nocookie.com/embed/D5fYOnwYkj4?enablejsapi=1&wmode=opaque&autoplay=1,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,7.82,2253106.0,1104.0,6,3328136,55539,spring,2016.0,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO Animation', 'Shueisha']",13.0,2016-04-03T00:00:00+00:00,Sunday,['Action'],"['School', 'Super Power']",['Bones'],['Shounen'],24.0,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual. Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor! Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero."
11757,https://myanimelist.net/anime/11757/Sword_Art_Online,https://cdn.myanimelist.net/images/anime/11/39717l.jpg,https://www.youtube-nocookie.com/embed/6ohYYtxfDCg?enablejsapi=1&wmode=opaque&autoplay=1,Sword Art Online,Sword Art Online,ソードアート・オンライン,"['S.A.O', 'SAO']",TV,Light novel,Finished Airing,PG-13 - Teens 13 or older,7.23,2290425.0,3562.0,7,3317091,71348,summer,2012.0,"['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works', 'Bandai Namco Games']",25.0,2012-07-08T00:00:00+00:00,Sunday,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Romance']","['Video Game', 'Isekai', 'Harem', 'Psychological', 'School']",['A-1 Pictures'],['Shonen'],23.0,"Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike. However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world. While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done."
11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/images/anime/1337/99013l.jpg,https://www.youtube-nocookie.com/embed/D9iTQRB4XRk?enablejsapi=1&wmode=opaque&autoplay=1,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,['HxH (2011)'],TV,Manga,Finished Airing,PG-13 - Teens 13 or older,9.03,1995375.0,10.0,8,3214188,230757,fall,2011.0,"['VAP', 'Nippon Television Network', 'Shueisha']",148.0,2011-10-02T00:00:00+00:00,Sunday,"['Action', 'Adventure', 'Fantasy']","['Super Power', 'Martial Arts', 'Video Game', 'Psychological']",['Madhouse'],['Shounen'],23.0,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased. Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path. During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world."
20,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/images/anime/1141/142503l.jpg,,Naruto,Naruto,ナルト,['NARUTO'],TV,Manga,Finished Airing,PG-13 - Teens 13 or older,8.02,2154791.0,723.0,9,3137808,87051,fall,2002.0,"['TV Tokyo', 'Aniplex']",220.0,2002-10-03T00:00:00+00:00,Thursday,"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],['Studio Pierrot'],['Shounen'],23.0,"Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life. Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno. Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brush against danger and death, their tragic pasts threaten to tear them apart."
22319,https://myanimelist.net/anime/22319/Tokyo_Ghoul,https://cdn.myanimelist.net/images/anime/1498/134443l.jpg,https://www.youtube-nocookie.com/embed/vGuQeQsoRgU?enablejsapi=1&wmode=opaque&autoplay=1,Tokyo Ghoul,Tokyo Ghoul,東京喰種-トーキョーグール-,"['Tokyo Kushu', 'Toukyou Kushu', 'Toukyou Ghoul']",TV,Manga,Finished Airing,R - 17+ (violence & profanity),7.79,2013323.0,1199.0,10,3074136,53321,summer,2014.0,"['Marvelous AQL', 'TC Entertainment', 'Shueisha']",12.0,2014-07-04T00:00:00+00:00,Friday,"['Action', 'Fantasy', 'Horror', 'Suspense']","['Gore', 'Psychological', 'Urban Fantasy']",['Studio Pierrot'],['Seinen'],24.0,"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date. While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body. Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them."
